iter	Passed	Remaining
467	722	820
468	723	818
469	724	816
470	725	814
471	726	812
472	727	810
473	729	809
474	730	807
475	731	805
476	733	803
477	734	801
478	735	800
479	736	798
480	737	796
481	739	794
482	740	792
483	741	790
484	742	788
485	743	786
486	745	785
487	746	783
488	747	781
489	749	779
490	750	777
491	751	776
492	752	774
493	754	772
494	755	770
495	756	768
496	757	766
497	758	764
498	760	763
499	761	761
500	762	759
501	764	758
502	765	756
503	766	754
504	768	752
505	769	751
506	770	749
507	771	747
508	773	745
509	774	744
510	775	742
511	776	740
512	778	738
513	779	736
514	780	735
515	781	733
516	782	731
517	784	729
518	785	727
519	786	725
520	787	724
521	788	722
522	790	720
523	791	718
524	792	717
525	793	715
526	795	713
527	796	711
528	797	709
529	798	708
530	799	706
531	800	704
532	802	702
533	803	700
534	804	699
535	805	697
536	807	696
537	808	694
538	809	692
539	810	690
540	812	689
541	813	687
542	814	685
543	815	683
544	816	682
545	818	680
546	819	678
547	820	677
548	822	675
549	823	673
550	824	672
551	826	670
552	827	668
553	828	666
554	829	665
555	830	663
556	832	661
557	833	659
558	834	658
559	835	656
560	837	655
561	838	653
562	839	651
563	840	650
564	842	648
565	843	646
566	844	645
567	845	643
568	846	641
569	848	639
570	849	638
571	850	636
572	852	635
573	853	633
574	854	631
575	856	630
576	857	628
577	858	626
578	859	625
579	860	623
580	862	621
581	863	620
582	864	618
583	866	616
584	867	615
585	868	613
586	869	612
587	871	610
588	872	608
589	873	606
590	874	605
591	875	603
592	876	601
593	877	599
594	878	598
595	880	596
596	881	594
597	882	593
598	883	591
599	884	589
600	886	588
601	887	586
602	888	584
603	889	583
604	890	581
605	891	579
606	893	578
607	894	576
608	895	575
609	897	573
610	898	572
611	899	570
612	900	568
613	902	567
614	903	565
615	904	563
616	905	562
617	906	560
618	908	558
619	909	557
620	911	556
621	912	554
622	913	552
623	914	551
624	916	549
625	917	548
626	918	546
627	919	544
628	921	543
629	922	541
630	923	539
631	924	538
632	926	537
633	927	535
634	928	533
635	929	532
636	931	530
637	932	528
638	933	527
639	934	525
640	935	524
641	937	522
642	938	521
643	939	519
644	941	518
645	942	516
646	944	515
647	945	513
648	946	512
649	948	510
650	949	509
651	951	507
652	952	506
653	953	504
654	955	503
655	956	501
656	958	500
657	959	498
658	960	497
659	962	495
660	963	494
661	964	492
662	965	490
663	967	489
664	968	487
665	969	486
666	971	484
667	972	483
668	973	481
669	975	480
670	976	478
671	977	477
672	978	475
673	980	474
674	981	472
675	982	470
676	983	469
677	984	467
678	986	466
679	987	464
680	988	463
681	990	461
682	991	460
683	992	458
684	993	456
685	994	455
686	995	453
687	996	452
688	998	450
689	999	448
690	1000	447
691	1001	445
692	1003	444
693	1004	442
694	1005	441
695	1006	439
696	1007	438
697	1008	436
698	1009	434
699	1011	433
700	1012	431
701	1013	430
702	1015	428
703	1016	427
704	1017	425
705	1018	424
706	1020	422
707	1021	421
708	1022	419
709	1024	418
710	1025	416
711	1026	415
712	1027	413
713	1028	412
714	1029	410
715	1031	408
716	1032	407
717	1033	405
718	1034	404
719	1035	402
720	1037	401
721	1038	399
722	1039	398
723	1040	396
724	1041	395
725	1042	393
726	1044	392
727	1045	390
728	1046	389
729	1048	387
730	1049	386
731	1050	384
732	1052	383
733	1053	381
734	1054	380
735	1056	378
736	1057	377
737	1058	375
738	1061	374
739	1062	373
740	1064	372
741	1066	370
742	1068	369
743	1069	368
744	1071	366
745	1072	365
746	1074	363
747	1076	362
748	1078	361
749	1081	360
750	1082	358
751	1083	357
752	1085	356
753	1086	354
754	1087	353
755	1089	351
756	1091	350
757	1093	348
758	1094	347
759	1096	346
760	1097	344
761	1099	343
762	1101	341
763	1102	340
764	1104	339
765	1106	337
766	1107	336
767	1109	335
768	1110	333
769	1112	332
770	1113	330
771	1115	329
772	1116	327
773	1117	326
774	1119	325
775	1121	323
776	1122	322
777	1124	320
778	1125	319
779	1126	317
780	1127	316
781	1129	314
782	1130	313
783	1131	311
784	1132	310
785	1135	309
786	1136	307
787	1138	306
788	1139	304
789	1141	303
790	1142	301
791	1143	300
792	1145	298
793	1146	297
794	1148	296
795	1149	294
796	1151	293
797	1153	291
798	1154	290
799	1156	289
800	1157	287
801	1159	286
802	1160	284
803	1162	283
804	1164	282
805	1166	280
806	1167	279
807	1169	277
808	1170	276
809	1172	274
810	1173	273
811	1174	271
812	1175	270
813	1177	268
814	1179	267
815	1180	266
816	1182	264
817	1184	263
818	1185	261
819	1186	260
820	1187	258
821	1189	257
822	1190	256
823	1192	254
824	1193	253
825	1195	251
826	1196	250
827	1197	248
828	1199	247
829	1200	245
830	1202	244
831	1203	243
832	1205	241
833	1206	240
834	1208	238
835	1209	237
836	1211	235
837	1212	234
838	1214	233
839	1215	231
840	1217	230
841	1218	228
842	1219	227
843	1221	225
844	1222	224
845	1224	222
846	1225	221
847	1227	219
848	1228	218
849	1229	217
850	1231	215
851	1232	214
852	1233	212
853	1234	211
854	1236	209
855	1237	208
856	1238	206
857	1240	205
858	1241	203
859	1242	202
860	1244	200
861	1245	199
862	1246	197
863	1248	196
864	1249	194
865	1250	193
866	1251	192
867	1253	190
868	1254	189
869	1255	187
870	1256	186
871	1258	184
872	1259	183
873	1260	181
874	1261	180
875	1263	178
876	1264	177
877	1265	175
878	1266	174
879	1268	172
880	1269	171
881	1270	170
882	1272	168
883	1273	167
884	1274	165
885	1276	164
886	1277	162
887	1278	161
888	1279	159
889	1281	158
890	1282	156
891	1284	155
892	1285	154
893	1286	152
894	1287	151
895	1289	149
896	1290	148
897	1291	146
898	1292	145
899	1293	143
900	1295	142
901	1296	140
902	1297	139
903	1299	137
904	1300	136
905	1301	135
906	1303	133
907	1304	132
908	1305	130
909	1307	129
910	1308	127
911	1309	126
912	1310	124
913	1311	123
914	1313	122
915	1315	120
916	1316	119
917	1317	117
918	1318	116
919	1319	114
920	1321	113
921	1322	111
922	1323	110
923	1325	108
924	1326	107
925	1327	106
926	1328	104
927	1330	103
928	1331	101
929	1332	100
930	1334	98
931	1335	97
932	1336	96
933	1338	94
934	1339	93
935	1340	91
936	1342	90
937	1343	88
938	1344	87
939	1346	85
940	1347	84
941	1348	83
942	1349	81
943	1351	80
944	1352	78
945	1353	77
946	1354	75
947	1356	74
948	1357	72
949	1358	71
950	1360	70
951	1361	68
